SEC,CUENTA,Nombre del tarjetahabiente,Tipo de tarjeta,Tarjeta_Nac_Ext,Fecha_Vta, IMP_OUTGOI ,AUTORIZACION,FOLIO,AFILIACION,COMERCIO,TIPO DE OPERATIVA,NOMBRE_COMPRADOR,TELEFONO,EMAIL,IP,CALLE,NUMERO,COLONIA,CIUDAD,Estado,CP,CODIGO_CONTRACARGO,DESCRIPCION_CONTRACARGO
1,555555******5555,Juan Sanchez Díaz,Debito,Nacional,9/17/2021,355,831651,08/10/2021-12,1,OPENPAY,VENTA POR INTERNET,Juan Perez Diaz,4426879452,osc87@hotmail.com,192.168.1.28,Petroleos,222,Centro,Corregidora,Queretaro,76915,4837,Fraude Internacional
2,555555******5555,Ruben Gonzalez Soto,Debito,Nacional,10/1/2021,648.6,934513,08/10/2021-41,1,OPENPAY,VENTA POR INTERNET,Alma Medina Suarez,5566447788,alma.m@gmail.com,192.154.1.55,Mirador,126,Carranza,Toluca,México,50190,68,Fraude Nacional
3,555555******5555,Jose Perez Santos,Debito,Nacional,10/3/2021,"1,722.00",171722,08/10/2021-47,1,OPENPAY,VENTA POR INTERNET,Raul Sanchez Vidal,5533447788,raul.s@msn.com,192.250.20.30,Periferico Sur,2560,Fuentes,Tlalpan,CDMX,17840,10,Fraude Visa
4,555555******5555,Manuel Avila Ruiz,Debito,Nacional,9/29/2021,487,674869,08/10/2021-55,1,OPENPAY,VENTA POR INTERNET,Hector Montaño Osnaya,5577446688,hector.montaño@gmail.com,168.120.10.33,Portugal,3605,7 de Noviembre,Gustavo A. Madero,CDMX,11204,4837,Fraude Internacional
5,555555******5555,Pedro Gonzalez Quiroz,Debito,Nacional,8/26/2021,800,124264,08/10/2021-113,1,OPENPAY,VENTA TELEFONICA,David  Ramos Fuentes,6564360455,nada.abc@gmail.com,192.168.1.254,Toronja,9518,Infonavit,Juarez,Chihuahua,32583,68,Fraude Nacional
6,555555******5555,Juan Sanchez Díaz,Credito,Nacional,8/26/2021,600,453419,08/10/2021-114,1,OPENPAY,VENTA TELEFONICA,David  Ramos Fuentes,6564360455,nada.abc@gmail.com,192.168.1.254,Toronja,9518,Infonavit,Juarez,Chihuahua,32583,10,Fraude Visa
7,555555******5555,Ruben Gonzalez Soto,Debito,Nacional,7/22/2021,250,790535,08/10/2021-144,1,OPENPAY,CARGO RECURRENTE,David  Ramos Fuentes,6564360455,nada.abc@gmail.com,192.168.1.254,Toronja,9518,Infonavit,Juarez,Chihuahua,32583,4837,Fraude Internacional
8,555555******5555,Jose Perez Santos,Credito,Nacional,9/20/2021,294,927303,08/10/2021-145,1,OPENPAY,VENTA POR INTERNET,David  Ramos Fuentes,6564360455,nada.abc@gmail.com,192.168.1.254,Toronja,9518,Infonavit,Juarez,Chihuahua,32583,68,Fraude Nacional
9,555555******5555,Manuel Avila Ruiz,Credito,Nacional,8/11/2021,261.6,005737,08/10/2021-261,1,OPENPAY,CONTACTLESS,David  Ramos Fuentes,6564360455,nada.abc@gmail.com,192.168.1.254,Toronja,9518,Infonavit,Juarez,Chihuahua,32583,10,Fraude Visa
10,555555******5555,Pedro Gonzalez Quiroz,Credito,Nacional,9/2/2021,384.44,649116,08/10/2021-277,1,OPENPAY,CHIP,David  Ramos Fuentes,6564360455,nada.abc@gmail.com,192.168.1.254,Toronja,9518,Infonavit,Juarez,Chihuahua,32583,4837,Fraude Internacional
11,555555******5555,Juan Sanchez Díaz,Debito,Internacional,9/8/2021,576.6,494575,08/10/2021-278,1,OPENPAY,VENTA TELEFONICA,David  Ramos Fuentes,6564360455,nada.abc@gmail.com,192.168.1.254,Toronja,9518,Infonavit,Juarez,Chihuahua,32583,68,Fraude Nacional
